Afferenet,animal,cell,treatment,treatment_text,treatment_class,Cancer,Chemotherapy,note,#NAME?,autoClass,manualClass,Trial#,TrigStart.R,ms.F,Dyn.pfr,Stat.mSfr,Stat.afr,Stat.HzSTD,Stat.HzEnd,Dyn.IB,Thr.T,Thr.F,Thr.L,Stat.LSpkT,Stat.LSpkF,Dyn.spkNum,Stat.spkNum,Dyn.DI,Dyn.slp,Stat.slp,,TrigStart.Tri,ms.F1,Dyn.F,Dyn.pfr1,Dyn.pfr3,Thr.T1,Thr.F1,Thr.L1,Thr.T3,Thr.F3,Thr.L3,Dyn.slp1,Dyn.slp3,Dyn.spkNum1,Dyn.spkNum3,Dyn.RDR,Dyn.IFRdrop
A17024-18-53-cell 4,A17024-18-53,-cell 4,1,WT,WT_Ib,0,0,Shit took from all over record,,Ib,Ib,,151.12025,17.1468575,81.08921,52.95593,70.74994,42.8905125,46.7419725,0,71.325,49.8749725,1.418337,990.4,155.5426975,4.5,67.5,26.479575,1957.0561,-30.1078075,,172.857,20.06334,375.0625,143.6782,141.2429,379.5,78.66876,1.522794,435.4,86.39407,1.607903,319.9399,365.5696,35,30,5,17.23439
A17024-18-53-cell 8,A17024-18-53,-cell 8,1,WT,WT_Ib,0,0,,,Ib,Ib,,37.5445,15.8549175,197.5406,91.002245,107.3655,34.00475,79.3052525,0,63.16,58.530755,1.25351075,996.86,227.726625,7.75,97.25,106.53837,2741.62875,-88.10795,,171.695,20.8263,225.639,119.9041,119.0476,509.48,84.06867,2.060814,581.76,100.2803,2.312723,432.9201,570.2036,18,13,5,43.45148
A17024-18-53-cell 10,A17024-18-53,-cell 10,1,WT,WT_Ib,0,0,,,Ib,Ib,,59.6225,21.15834,135.087975,60.862875,73.348655,26.669075,52.4693375,0,67.665,48.00188,1.3550385,993.88,152.411425,5.25,65,74.2250925,1801.757,-65.854,,131.985,28.70746,321.1365,160.2564,158.7302,405.04,73.33437,1.641412,482.18,89.64842,1.905281,429.6262,514.5486,33,26,7,34.35205
A17024-18-55-cell 8,A17024-18-55,-cell 8,2,OX,OX_Ib,0,1,not sure on class,,Ib,Ib,,69.3265,23.42733,117.079375,24.1493895,55.9202325,23.77844,0.21900425,0,3.625,8.61641825,0.05240575,638.045,139.33465,11,16,92.929955,256.5878,-87.58185,,132.731,28.55883,243.1218,94.69697,92.59259,22.34,11.30148,0.09734,474.84,78.33422,1.832175,114.4826,258.4764,38,18,20,83.7165
A17024-18-55-cell 12,A17024-18-55,-cell 12,2,OX,OX_Ib,0,1,,,Ib,Ib,,25.8735,29.65093,105.5526825,47.4252725,64.0925525,24.2259775,0.2198025,0,103.52,108.1196,2.0680785,763.755,171.55995,3,40.75,58.127425,4046.78175,-92.986975,,132.033,22.42086,271.1574,108.9325,104.1667,598.84,142.7051,2.370587,603.92,132.8702,2.402595,524.2297,539.933,13,12,1,24.6936
A17024-18-55-cell 23,A17024-18-55,-cell 23,2,OX,OX_Ib,0,1,,,Ib,Ib,,63.767,15.7698875,92.592,38.4,63.8300625,14.890635,0.203501,0,8.0205,14.238,0.178549,622.66,121.451,6,28,65.970515,592.331025,-94.4032,,208.703,10.95146,249.6508,85.47009,80.5153,514.7,100.0674,2.063866,615.72,128.7256,2.419975,243.3115,427.925,16,9,7,9.366585
A17024-18-60-cell 6,A17024-18-60,-cell 6,1,WT,WT_Ib,0,0,,,Ib,Ib,,90.4815,30.03328,219.671425,115.93505,129.23975,30.629605,102.1646625,0,58.82,50.4470275,1.1946805,1003.275,167.097325,10.5,121,103.73637,2897.59975,-81.305125,,206.819,9.943372,257.210135,173.611111,175.438596,413.3,71.422756,1.651199,449.46,72.689963,1.769742,389.762752,431.088787,41,37,4,31.160969
A17024-18-60-cell 9,A17024-18-60,-cell 9,1,WT,WT_Ib,0,0,,,Ib,Ib,,84.4985,30.6359575,222.301275,143.084975,153.231175,22.7952675,134.695,0,32.19,28.8588475,0.6315895,999.97,189.735975,14.25,148.25,79.2163225,1947.20625,-63.025175,,130.747,28.59027,265.9004,189.3939,181.1594,257.34,40.01954,1.02278,337.6,47.26408,1.268586,297.4297,330.7878,61,49,12,15.44461
A17024-18-60-cell 10,A17024-18-60,-cell 10,1,WT,WT_Ib,0,0,,,Ib,Ib,,62.7675,20.3247775,153.395475,94.0371225,100.738285,17.0903725,86.694295,0,11.72,11.115595,0.2278185,998.46,115.7855,11,96.75,59.3583575,1185.90475,-45.545975,,96.661,27.29108,247.0013,165.0165,165.0165,224.16,31.13071,0.873865,300.76,36.93341,1.159271,268.7106,306.2956,52,44,8,8.176806
A17024-18-60-cell 13,A17024-18-60,-cell 13,1,WT,WT_Ib,0,0,,,Ib,Ib,,63.8655,11.255175,154.701575,84.18255,92.0315375,19.5589575,77.3449325,0,6.365,8.4817075,0.1144685,998.85,78.0356875,12,86.75,70.519035,982.1478,-47.784475,,138.664,10.86995,272.5801,140.056,137.741,28.46,47.89329,1.222737,371.56,54.48726,1.455887,230.004,254.1044,41,36,5,19.53774
A17024-18-60-cell 14,A17024-18-60,-cell 14,1,WT,WT_Ib,0,0,not sure on class,,Ib,Ib,,65.5605,21.212845,192.59995,83.7594475,101.57185,34.908465,73.58531,0,29.555,22.6407375,0.58388975,996.3,139.54305,8.75,90.75,108.8405075,1750.128,-92.49665,,167.47,21.18118,220.4684,173.6111,171.8213,25.38,7.724053,0.093594,382.66,48.94458,1.491941,266.6882,464.657,47,32,15,24.83687
A17024-18-61-cell 1,A17024-18-61,-cell 1,3,Pirc,Pirc_Ib,1,0,,,Ib,Ib,,27.6415,10.3627775,83.3823775,46.4373675,51.7009325,12.2075075,40.24322,0,39.955,33.646385,0.807037,993.155,148.763975,5.25,48.25,36.94501,864.073925,-33.759575,,7.522,10.14835,162.828,128.2051,128.2051,65.82,11.87945,0.257956,528,42.80231,2.341562,197.6764,267.9682,13,8,5,91.465
A17024-18-61-cell 7,A17024-18-61,-cell 7,3,Pirc,Pirc_Ib,1,0,,,Ib,Ib,,36.9875,10.7810975,61.9991575,33.4415675,37.69135,10.18089325,25.1401425,0,37.665,23.3227225,0.817715,981.355,67.06749,4.25,34.25,28.557585,800.26215,-30.5619,,200.575,21.41809,164.3263,84.60237,79.74482,330.66,37.09864,1.30589,436.54,46.11732,1.765309,152.8209,202.6195,22,16,6,24.4339
A17024-18-61-cell 8,A17024-18-61,-cell 8,3,Pirc,Pirc_Ib,1,0,,,Ib,Ib,,27.9285,8.60058225,84.0896,37.848175,45.2481025,15.1362075,24.27749,0,20.315,18.7432875,0.80125025,982.005,62.0480975,6,39.25,46.24143,884.04305,-47.414775,,185.142,10.87123,111.8338,89.60574,81.69935,135.42,26.6046,1.130997,437.24,38.24972,1.746182,142.4725,204.7684,28,17,11,26.71265
A17024-18-61-cell 12,A17024-18-61,-cell 12,3,Pirc,Pirc_Ib,1,0,,,Ib,Ib,,55.3945,16.906065,192.468525,80.0022225,95.6420525,30.5810875,74.695995,0,4.93,10.69926375,0.0726225,998.9,103.6617325,13.25,86.5,112.4663225,1374.223,-77.17325,,202.71,11.86304,115.0636,131.2336,112.6126,8.8,4.688872,0.0819,327.02,26.45396,1.259622,148.1277,225.3932,47,27,20,30.83199
A17024-18-62-cell 1,A17024-18-62,-cell 1,3,Pirc,Pirc_Ib,1,0,,,Ib,Ib,,41.9065,11.663505,87.3820475,55.33002,57.9879675,7.93088825,50.3746875,0,8.11,10.865615,0.16107,990.845,63.6451625,8.5,56.5,32.0520275,621.51745,-22.58395,,130.267,19.54631,227.2622,105.4852,98.61933,10.92,8.405314,0.047268,205.3,21.11855,0.786359,98.56959,139.7989,47,32,15,14.41055
A17024-18-62-cell 6,A17024-18-62,-cell 6,3,Pirc,Pirc_Ib,1,0,,,Ib,Ib,,22.0105,10.9150825,85.8967175,51.410575,56.27348,16.02181425,45.44837,0,10.615,11.206045,0.21224275,990.98,68.57207,8,52.75,34.486145,648.2959,-24.9153,,127.02,27.98088,240.8941,106.1571,104.1667,12.4,8.714083,0.049696,253.34,28.73725,0.962396,101.9157,148.5648,46,28,18,-26.0816
A17024-18-62-cell 7,A17024-18-62,-cell 7,3,Pirc,Pirc_Ib,1,0,,,Ib,Ib,,77.4795,32.045285,67.4937125,41.8932475,45.2114925,7.9802475,35.9853325,0,9.5,13.511525,0.18002625,986.055,187.150975,6.25,43,25.6004625,523.489325,-22.8991,,158.501,19.64126,161.8878,49.75124,41.66667,302.2,44.40642,1.574105,513.3,62.16087,2.047886,109.467,142.4842,13,5,8,8.055539
A17024-18-62-cell 9,A17024-18-62,-cell 9,3,Pirc,Pirc_Ib,1,0,,,Ib,Ib,,35.3445,12.3647425,100.2585875,57.92392,62.8568325,11.7995425,53.1668575,0,7.16,13.614255,0.12894175,994.635,78.543185,9,59.25,42.334675,684.301125,-30.60205,,164.105,19.51056,175.0866,94.16196,87.26004,13.16,9.524489,0.033727,274.38,28.29014,1.058875,89.67186,136.3443,43,27,16,23.83847
A17024-18-62-cell 11,A17024-18-62,-cell 11,3,Pirc,Pirc_Ib,1,0,,,Ib,Ib,,29.4705,12.54204625,88.4475175,45.665215,50.8956825,12.0219425,37.428825,0,11.075,12.4290225,0.270199,990.825,79.20699,7.5,47.25,42.7823075,712.656325,-34.968525,,157.244,20.16517,185.629,73.74631,64.85084,17.48,9.668909,0.082352,212.58,21.34285,0.789202,68.37237,91.01676,39,24,15,14.2225
A17024-18-62-cell 12,A17024-18-62,-cell 12,3,Pirc,Pirc_Ib,1,0,,,Ib,Ib,,47.8445,16.9085275,112.2737925,67.1752,71.311305,12.944285,60.5990925,0,8.79,12.232915,0.173246,995.005,101.178445,10,68,45.0985925,713.427025,-34.5024,,160.903,19.22566,169.8281,99.20635,88.65248,13.74,8.108889,0.049599,266.74,25.29102,1.043893,98.7082,139.0407,44,28,16,25.46004
A17024-18-62-cell 13,A17024-18-62,-cell 13,3,Pirc,Pirc_Ib,1,0,,,Ib,Ib,,59.58675,16.090985,118.84884,48.4789075,54.3243075,21.3681075,44.2249925,0,8.255,12.7074975,0.15478725,993.9,93.6117775,7.5,47.25,70.3699175,942.000875,-42.3754,,7.356,11.91865,98.49984,76.80492,77.51938,95.2,10.39939,0.398576,361.58,24.73078,1.422221,98.15633,162.6346,26,16,10,63.12174
A17024-18-62-cell 19,A17024-18-62,-cell 19,3,Pirc,Pirc_Ib,1,0,,,Ib,Ib,,69.0635,30.914365,56.854305,44.4096275,47.434575,9.3785205,38.9060375,0,30.045,30.894205,0.595721,998.455,188.306,4.5,44.75,12.44467625,568.9113,-25.4502,,184.562,12.13264,126.9698,38.13883,21.53316,17.06,10.13429,0.075993,561.12,62.69985,2.239083,33.51171,-221.467,19,6,13,7.102202
A17024-18-65-cell 5,A17024-18-65,-cell 5,1,WT,WT_Ib,0,0,,,Ib,Ib,,26.1495,30.3670725,69.1483075,38.438655,40.25676,9.083744,28.076835,0,8.705,15.0113575,0.157048,994.725,204.17885,8,39,27.709655,501.197025,-27.658675,,68.292,30.37115,268.2873,47.89272,40.95004,458.56,78.99683,1.845107,572.48,108.9365,2.277766,123.3137,192.5057,12,6,6,11.10096
A17024-17-04 -cell 21,A17024-17-04,-cell 21,2,OX,OX_Ib,0,1,,,Ib,Ib,,49,10.76,101.01,37.369,44.64,14.86,31.92,0,32.66,11.52,0.1913,975.78,69.933,11,40,63.64,829,-36.7061,,15.237,10.80175,76.1195,82.101,74.07,119.8,10.6945,0.482889,275.06,11.64,1.07,105.9014,133.144,34,24,10,57.36
A17024-17-04 -cell 12,A17024-17-04,-cell 12,2,OX,OX_II,0,1,,12,II,1.5,,44.6821,9.722115,57.3574935,37.462595,39.85262625,9.66511225,32.478359,0,15.14,18.86,0.29,995,100.6437943,8,38,23.83,559.667,-25.78485825,,205.7582,11.630367,126.401627,45.48,41.83,65.6,15.121,0.2534,315.516,36.268182,1.44565,59.228165,86.86476,23,14,9,11
A17024-17-04 -cell 13,A17024-17-04,-cell 13,2,OX,OX_II,0,1,,13,II,1.5,,41.5993,10.49823,86.288629,45.1224505,47.168465,8.18945625,40.48523225,0,13.672,16.30449975,0.30539175,992.78,100.2880885,8,45.25,41.166178,666.8712753,-19.23739775,,211.9602,10.617054,123.66159,59.354226,55.555556,379.372,40.273672,1.452665,459.752,46.987295,1.736479,118.607031,144.185149,16,12,4,23.310397
A17024-17-04 -cell 17,A17024-17-04,-cell 17,2,OX,OX_II,0,1,,17,II,II,,34.9244,10.42152775,64.8542155,32.60756525,37.62196325,10.80162025,31.855669,0,5.76,13.56298725,0.1464295,982.108,106.3376945,6,34.25,32.24665,331.3825098,-27.2337225,,130.2263,30.528976,283.620191,66.773504,55.407801,68.744,16.387926,0.259778,241.188,33.725302,0.915296,74.731325,93.796267,25,18,7,20.270528
A17024-17-04 -cell 20,A17024-17-04,-cell 20,2,OX,OX_II,0,1,,20,II,0,,38.2231,10.9268855,206.047677,131.4575973,138.4886778,22.68034575,117.228434,0,5.4745,12.2218755,0.14112875,998.84,107.8314233,19,133.5,74.59008025,905.2070108,-61.0378595,,133.4984,29.94727,284.907746,219.298246,194.70405,1.556,2.14826,0.007703,51.696,3.31689,0.19447,210.052762,238.051317,97,72,25,16.693376
A17024-17-04 -cell 8,A17024-17-04,-cell 8,2,OX,OX_II,0,1,,8,II,II,,53.591,10.9534865,95.565,46.09,52.24,14.01,37.53,0,15.86,16.42,0.3087,981.52,139,8,49,49.47,738.73,-41,,222.7527,11.188587,142.369592,75.48,62.94,273.436,45.30817,1.04,431.144,60.949156,1.62699,111.84,151.54,27,15,12,16.9
A17024-17-08 -cell 1,A17024-17-08,-cell 1,2,OX,OX_II,0,1,,,II,Ia,,36.0142,12.3755,86.49754467,32.23820633,59.44926867,92.979882,45.98951,0,5.072,10.11591433,0.127570667,998.736,112.3439873,9,49,54.25933867,637.5125513,-61.530604,,3.6914,12.84,95.44373,60.916,57.077626,8.06,5.029949,0.038211,14.52,6.390381,0.044696,33.72209,43.26758,41,31,10,7.104291
A17024-17-08 -cell 3,A17024-17-08,-cell 3,2,OX,OX_II,0,1,,,II,II,,40.1925,10.6523675,121.2373805,70.23766875,84.13651575,47.95224625,59.35950125,0,12.512,14.166295,0.26968175,995.016,103.7035958,11.25,73.25,50.99971175,854.6132935,-26.6453145,,208.3203,10.45252,120.332265,86.805556,74.404762,32.392,8.700168,0.132758,162.836,10.993829,0.618903,111.095988,113.839016,47,26,21,4.973862
A17024-17-08 -cell 4,A17024-17-08,-cell 4,2,OX,OX_II,0,1,,,II,Ia,,45.0679,11.48161525,131.6312478,59.308795,66.2960315,17.41523025,56.2316085,0,3.064,8.22414225,0.0788045,997.088,113.309062,13.5,61.5,72.32245275,497.3685695,-34.08095725,,204.6721,10.152639,131.463909,106.292517,99.206349,25.776,9.076825,0.10652,228.412,19.200911,0.858626,117.396793,137.722269,47,30,17,49.502848
A17024-17-15 aff 1,A17024-17-15,aff 1,4,POX,POX_II,1,1,,,II,II,,66.3035,13.58553125,52.4479305,31.94122425,38.409936,17.18762625,28.08592625,0,12.648,13.484288,0.25219025,979.432,100.5398543,4.75,34.25,20.50670625,415.2261155,-23.69230925,,231.61,12.364658,132.705688,90.57971,49.13522,17.268,8.158897,0.064098,372.976,34.245855,1.474163,81.987746,122.535558,21,14,7,32.343288
A17024-17-15 aff 3,A17024-17-15,aff 3,4,POX,POX_II,1,1,,,II,0,,40.5905,12.9282785,43.6381035,7.620679,23.858146,21.03710775,4.42784575,0,41.6555,32.53821625,1.058114,929.932,99.3650215,4,12,22.82947675,450.3177838,-33.100952,,169.348,21.522268,232.546115,42.087542,45.487627,298.068,42.705611,1.202248,112.672,11.474499,0.412529,78.113236,58.808002,13,8,5,34.771893
A17024-17-15 aff 5,A17024-17-15,aff 5,4,POX,POX_II,1,1,,,II,II,,46.3845,10.331035,91.87472675,46.44425225,47.95010875,21.18075325,20.693283,0,72.5,41.505979,1.4418725,982.92,86.62355225,3.25,38,45.43047425,1669.937264,-50.1045105,,211.595,12.041251,134.418309,54.253472,56.766576,596.54,77.769079,2.406855,187.224,15.663864,0.698862,358.021188,101.042015,6,10,-4,7.646463
A17027-17-16 aff 10,A17027-17-16,aff 10,4,POX,POX_II,1,1,,,II,II,,61.9575,11.6787645,52.7298705,26.914111,28.888668,7.43680925,19.4978215,0,6.896,9.072826,0.13669625,977.304,84.708342,6,26.5,22.644725,398.2349093,-19.47562925,,222.633,11.608269,122.652328,43.767507,44.9964,165.916,16.561637,0.669855,251.576,19.135527,0.972819,72.088007,77.144397,16,14,2,18.329982
A17027-17-16 aff 2,A17027-17-16,aff 2,4,POX,POX_II,1,1,,,II,II,,52.6575,12.343382,77.19434075,41.53243425,44.049554,10.79126025,36.87015275,0,4.508,7.20234,0.080713,994.14,88.8658055,9,41,35.66190625,311.1954405,-23.59893525,,186.406,21.40805,194.557548,80.43758,69.6767,69.828,13.277115,0.277695,253.696,27.081959,0.980973,41.352435,81.201416,32,13,19,41.298571
A17027-17-16 aff 4,A17027-17-16,aff 4,4,POX,POX_II,1,1,,,II,II,,63.9465,12.942705,75.5189315,37.3946235,43.35680775,13.38721475,28.67069525,0,12.428,11.60935275,0.24124475,981.828,90.85223625,7,39,38.12430775,570.0341103,-30.637552,,194.98,21.236932,189.073837,65.104167,0,104.34,15.319007,0.408846,459.184,59.921175,1.817538,53.025847,0,7,1,6,63.171755
A17024-17-17 aff 7,A17024-17-17,aff 7,4,POX,POX_II,1,1,,,II,II,,65.3875,9.99184125,58.0928065,33.945194,37.90242475,8.620968,23.27560775,0,82.336,45.16922575,1.638418,991.34,105.6412023,3,35.25,24.1476125,1276.444467,-25.24294325,,240.543,10.602453,153.905964,57.550645,54.395126,361.804,51.000425,1.467836,449.432,43.786654,1.77942,167.783742,154.494425,10,11,-1,10.309526
A17024-17-18 aff 8,A17024-17-18,aff 8,4,POX,POX_II,1,1,,,II,II,,43.722,9.588627667,144,70.62,79.06,20.10757567,62.00397,0,28.53,7.47,0.082373333,989.76,111.154413,11,74,77.917947,853.30325,-50,,9.32,11.831263,176.648819,109.64,104.69,9.89,3.440121,0.034378,246.616,20.668989,0.956004,115.410659,204.112578,47,29,18,27.468137
A17024-17-19 aff 1,A17024-17-19,aff 1,4,POX,POX_II,1,1,,,II,II,,45.3695,12.83822725,96.46290925,28.829598,41.25866925,32.27253975,11.374207,0,27.984,20.7957765,0.55560425,937.984,101.4417465,6.25,27.25,67.633311,662.9961313,-49.32451325,,139.838,32.512697,290.145159,58.51,57.74,79.7,16.580642,0.341809,312.192,47.99243,1.218503,80.176537,38.790193,20,13,7,304.010761
A17024-17-19 aff 5,A17024-17-19,aff 5,4,POX,POX_II,1,1,,,II,Ib,,46.585,12.17638025,46.6995615,12.70210475,21.9284275,11.05303825,6.339305,0,75.76,42.1949215,1.479753,979.04,105.2774183,3,15.5,33.99745675,981.1631733,-37.1006105,,233.213,12.187474,141.72945,39.013733,27.593819,429.884,48.968298,1.741225,502.584,55.844439,1.997115,103.277046,117.890948,9,6,3,25.659032
A17024-17-19 aff 6,A17024-17-19,aff 6,4,POX,POX_II,1,1,,,II,II,,46.1295,12.361867,100.3915453,32.9448815,38.346564,17.69628425,14.685699,0,24.152,18.09401025,0.47743525,981.456,100.3094548,7,32.5,67.446664,912.3785313,-37.954806,,205.156,11.279591,139.242268,53.25,55.39,150.379,15.23,0.61,426.928,43.260889,1.688047,85.030987,147.696958,24,15,9,58.306574
A17024-17-19 aff 7,A17024-17-19,aff 7,4,POX,POX_II,1,1,,,II,II,,113.664,11.8127405,0,0.20481675,0.187631,0,0.20481675,0,147.908,122.8368673,2.92069875,21.408,122.8368673,0,0,0,0,0,,173.376,32.728928,322.703767,67.421791,58.193669,568.132,157.329947,2.293521,604.112,160.659999,2.401325,309.667203,303.907462,9,7,2,25.503615
A17024-17-21 aff 2,A17024-17-21,aff 2,4,POX,POX_II,1,1,,,II,II,,57.8035,10.96744425,49.10049875,17.2630375,16.14127675,12.2292745,4.96380925,0,27.6975,22.83592075,0.66973175,952.7815,128.2847115,4,17,31.858625,525.1968128,-24.448221,,275.16,11.350427,181.92327,35.250987,33.875339,437.62,55.525454,1.768413,435.008,50.686236,1.718517,104.730007,108.607317,9,7,2,33.672548
A17024-17-21 aff 5,A17024-17-21,aff 5,4,POX,POX_II,1,1,,,II,II,,39.0745,12.66692625,121.0170813,72.42538525,78.18047225,13.895335,67.05339075,0,69.448,47.65530325,1.37744775,993.044,149.5725715,5,75.25,48.59169575,1863.570194,-35.10081925,,197.048,11.922988,198.481965,107.388316,104.166667,449.492,61.108002,1.808576,526.656,73.808643,2.081327,301.134128,384.670538,21,15,6,37.242413
A17024-18-39-cell 3,A17024-18-39,-cell 3,3,Pirc,Pirc_II,1,0,,,II,II,,59.6205,11.915302,122.1348318,73.4263985,76.045085,11.7136215,66.54136475,0,22.94,17.48874725,0.48626875,999.135,85.12780975,10,73.5,48.7084335,1100.130965,-31.25340175,,148.252,30.026127,299.171805,116.550117,108.932462,12.72,9.674096,0.061654,168.88,19.828212,0.642444,94.727137,133.64181,64,42,22,13.817608
A17024-18-39-cell 4,A17024-18-39,-cell 4,3,Pirc,Pirc_II,1,0,,,II,II,,50.9355,11.0774075,83.9049225,49.24514875,54.081762,11.50507275,41.6318445,0,49.58,26.39515175,1.01550375,989.01,84.64830325,5,50.75,34.6597735,1119.861649,-32.43886175,,108.629,28.659796,284.275603,84.602369,74.074074,269,39.186592,1.090199,327.72,44.681938,1.279242,142.508498,136.544274,30,23,7,2.289797
A17024-18-39-cell 6,A17024-18-39,-cell 6,3,Pirc,Pirc_II,1,0,,,II,II,,43.0325,13.97953075,42.03510475,20.546804,43.39273175,60.6929165,20.2733505,0,11.595,12.85032475,0.263999,974.755,112.6747753,3.75,25.75,21.48830125,286.709274,-24.13366275,,166.052,20.893226,236.089063,46.554935,34.867503,329.24,46.570243,1.335516,119.82,11.659585,0.421515,120.497426,56.94186,12,9,3,0.514419
A17024-18-40-cell 1,A17024-18-40,-cell 1,3,Pirc,Pirc_II,1,0,,,II,II,,65.8275,20.82183875,109.3725473,39.49044725,46.95058375,20.32986825,26.0331705,0,43.61,34.1526715,0.8939595,992.46,187.5113678,6.25,40.75,69.88209975,1218.246646,-41.32227,,170.21,21.454989,267.419004,85.910653,84.175084,253.46,35.144706,1.024338,375.66,49.895109,1.480612,151.82815,227.925413,27,17,10,85.064114
A17024-18-40-cell 12,A17024-18-40,-cell 12,3,Pirc,Pirc_II,1,0,,,II,II,,76.8975,20.15301725,149.0688115,28.5068605,45.758139,42.5519895,26.7,0,79.595,69.8491335,1.61496525,970.11,179.5736298,4.75,27.75,120.561951,2815.809529,-93.5585495,,213.83,11.687606,177.330375,73.746313,75.414781,463.46,63.306922,1.874235,582,85.71893,2.322991,243.193142,395.486055,12,8,4,72.990421
A17024-18-40-cell 13a,A17024-18-40,-cell 13a,3,Pirc,Pirc_II,1,0,,,II,II,,12.287,11.19075967,141.242938,47.898235,51.48280167,25.56959633,42.014185,0,37.26,26.26092767,0.777745333,992.98,115.160577,7.333333333,42,93.34470267,1450.336091,-40.411704,,10.476,12.128279,129.103887,85.470085,83.333333,156.4,15.530094,0.627426,412.46,36.014896,1.629009,131.460075,222.523896,31,18,13,84.143558
A17024-18-40-cell 16,A17024-18-40,-cell 16,3,Pirc,Pirc_II,1,0,,,II,II,,41.1175,9.61270175,158.4439215,78.996039,89.17404375,23.09809825,67.2888195,0,13.765,15.810015,0.30009625,995.285,104.8566748,12.25,82.25,79.4478825,1222.49659,-65.82959975,,105.725,27.540272,334.505343,166.666667,158.730159,128.84,19.951377,0.522329,268.2,38.254417,1.053685,253.379809,289.552411,56,46,10,17.487221
A17024-18-40-cell 18,A17024-18-40,-cell 18,3,Pirc,Pirc_II,1,0,,,II,II,,60.4535,9.22199375,59.84133525,31.11920425,36.27665125,10.5627185,25.99630275,0,32.94,23.38494775,0.68319275,980.155,103.483422,5,33,28.722131,626.7126378,-30.87276825,,25.024,11.748146,123.832345,51.92108,45.167118,209.82,19.679872,0.84898,353.26,27.525554,1.389154,76.597285,94.814721,19,13,6,1.568613
A17024-18-40-cell 2,A17024-18-40,-cell 2,3,Pirc,Pirc_II,1,0,,,II,II,,67.7875,23.08174225,142.380828,52.02752225,59.849949,28.758292,43.6117545,0,64.51,54.6666935,1.315027,991.4,211.1551988,7.25,51.5,90.3533055,2151.252628,-54.4578945,,169.724,21.924596,303.427553,122.54902,116.550117,265.22,42.443032,1.076728,422.88,69.019969,1.66736,193.535072,321.073336,34,22,12,119.876456
A17024-18-40-cell 9,A17024-18-40,-cell 9,3,Pirc,Pirc_II,1,0,,,II,II,,50.7925,11.72576775,100.7681408,55.862136,59.71777475,11.5729065,50.20987875,0,34.075,23.21165175,0.71204275,994.82,114.5533088,7,56.75,44.906005,794.3320968,-29.33375525,,150.736,29.242187,378.374362,103.519669,102.880658,91.02,17.270962,0.362934,275.98,41.587657,1.070084,141.873728,194.425781,42,27,15,10.673839
A17024-18-42-cell 6,A17024-18-42,-cell 6,1,WT,WT_II,0,0,,,II,II,,63.5855,14.3065675,130.318325,57.8939925,63.79814,18.633585,45.8371,0,9.585,11.3486025,0.18858325,992.05,95.918505,14,58.25,72.42433,895.544325,-47.88085,,187.691,21.71457,228.1392,111.1111,105.4852,8.9,5.113293,0.016865,144.84,16.09817,0.545331,58.54865,115.8148,69,44,25,24.05531
A17024-18-42-cell 7,A17024-18-42,-cell 7,1,WT,WT_II,0,0,,,II,II,,252.7385,11.137211,113.400175,35.073845,43.7039475,24.5174425,13.80343075,0,7.125,11.545223,0.129457,990.94,96.38814,11,35.25,78.32632,314.413675,-52.5576,,182.524,21.79429,229.5954,123.4568,115.7407,11.46,7.502589,0.057742,79.54,7.811154,0.275099,85.86949,145.5744,57,40,17,96.67015
A17024-18-53-cell 2,A17024-18-53,-cell 2,1,WT,WT_II,0,0,spontaneous firing in trianges,,II,II,,34.7265,11.3792595,165.8416,105.687025,112.865375,17.8040775,95.799735,0,5.285,9.60321,0.0957025,1001.175,89.0559675,15,108.75,60.154555,705.488575,-50.757525,,211.472,10.27909,122.9728,142.4501,128.2051,8.24,4.054971,-0.01441,115.56,8.322102,0.432005,126.3703,172.3444,70,46,24,17.13686
A17024-18-53-cell 11,A17024-18-53,-cell 11,1,WT,WT_II,0,0,manual fix time b/c spontaneous firing,,II,II,,59.7155,16.9287525,85.1226875,47.70824,52.077255,10.96452825,42.640285,0,6.93,5.143631,0.0707925,996.58,124.700965,9,49.25,37.4144475,368.25775,-30.53795,,208.047,10.82968,125.9366,66.13757,59.31198,14.56,4.926835,0.061996,268.64,21.01081,1.040184,45.43312,62.85384,37,18,19,15.16917
A17024-18-55-cell 16,A17024-18-55,-cell 16,2,OX,OX_II,0,1,,,II,II,,48.37,11.52042333,84.73127,48.67214333,54.66975667,12.0339,53.770473,0,9.085,12.84374333,0.146124333,742.32,83.39311667,9,36.66666667,36.05912,463.9432333,-47.08566667,,164.695,10.12408,243.800998,89.12656,81.300813,458.4,81.591545,1.847006,548.98,101.458345,2.170111,171.059241,234.303154,20,14,6,19.970266
A17024-18-60-cell 3,A17024-18-60,-cell 3,1,WT,WT_II,0,0,,,II,II,,45.4305,13.24786,131.3855,71.7685975,84.08336,32.12539,64.118235,0,4.49,7.5015505,0.07662775,995.115,80.00623,12,76.5,59.6169375,599.1004,-45.390325,,209.499,11.65474,131.6986,102.8807,93.10987,7.96,2.866545,0.076486,216.8,19.82923,0.825231,63.75021,122.6912,56,34,22,15.36759
