Afferenet,animal,cell,treatment,treatment_text,treatment_class,Cancer,Chemotherapy,note,#NAME?,autoClass,manualClass,Trial#,TrigStart.R,ms.F,Dyn.pfr,Stat.mSfr,Stat.afr,Stat.HzSTD,Stat.HzEnd,Dyn.IB,Thr.T,Thr.F,Thr.L,Stat.LSpkT,Stat.LSpkF,Dyn.spkNum,Stat.spkNum,Dyn.DI,Dyn.slp,Stat.slp,,TrigStart.Tri,ms.F1,Dyn.F,Dyn.pfr1,Dyn.pfr3,Thr.T1,Thr.F1,Thr.L1,Thr.T3,Thr.F3,Thr.L3,Dyn.slp1,Dyn.slp3,Dyn.spkNum1,Dyn.spkNum3,Dyn.RDR,Dyn.IFRdrop
A17024-18-61-cell 5,A17024-18-61,-cell 5,3,Pirc,Pirc_1.5,1,0,,,1.5,1.5,,62.507,18.80189,200.8547,35.01072667,52.25875333,47.01302333,25.71198333,0,15.28,11.92406667,0.285058667,971.52,96.66791333,13,34,165.8439667,1666.542,-98.16883333,,175.142,19.31648,166.3157,114.9425,113.3787,47.72,11.01557,0.183252,320.7,32.17321,1.235543,152.7546,214.2322,48,31,17,111.6654
A17024-18-61-cell 6,A17024-18-61,-cell 6,3,Pirc,Pirc_1.5,1,0,,,1.5,1.5,,70.0585,21.2372975,227.712525,63.0887175,75.1428275,34.6070375,57.8393425,0,15.85,13.76019,0.309463,997.64,115.756125,16.25,65.75,164.62385,1973.14475,-64.37725,,177.908,19.3929,147.4922,136.612,131.2336,91.88,10.69501,0.377307,331.5,28.9564,1.312451,182.3977,270.2165,54,36,18,131.3289
A17024-18-61-cell 9,A17024-18-61,-cell 9,3,Pirc,Pirc_1.5,1,0,,,1.5,1.5,,52.3635,13.03376875,147.9526,40.2852625,53.8761775,34.125895,35.60127,0,40.205,21.982975,0.79934825,988.2,86.341335,7.75,42,107.667325,1686.042,-67.81865,,12.168,9.375617,83.17275,76.4526,78.61635,178.9,13.65644,0.718861,414.56,25.02205,1.597606,133.398,214.1934,26,16,10,75.57596
A17024-18-61-cell 10,A17024-18-61,-cell 10,3,Pirc,Pirc_1.5,1,0,,,1.5,1.5,,70.7675,19.4733425,143.490885,38.6431075,52.3771625,27.831055,35.316015,0,26.055,17.9737875,0.5101435,988.81,114.983305,7.75,43.25,104.8477725,1227.517625,-57.674875,,182.969,19.17862,178.2895,102.8807,98.03922,63.08,14.21851,0.255144,358.2,42.29153,1.411809,150.8623,241.0538,33,21,12,101.95
A17024-18-61-cell 13,A17024-18-61,-cell 13,3,Pirc,Pirc_1.5,1,0,,,1.5,1.5,,63.2895,17.5361,223.3717,54.623805,79.5755275,54.4480125,40.180852,0,24.14,16.47871,0.48015,993.675,108.5490375,12,57.75,168.747875,2043.38725,-119.922275,,177.568,20.09405,189.2482,181.1594,191.5709,78.48,12.89812,0.321199,401.5,48.58891,1.59235,289.4214,518.0979,54,36,18,164.1285
A17024-18-61-cell 14,A17024-18-61,-cell 14,3,Pirc,Pirc_1.5,1,0,,,1.5,1.5,,72.0935,16.5532775,291.294275,76.84187,93.8216475,54.249805,52.1537475,0,19.545,13.26803125,0.396356,988.105,97.188235,14.75,75,214.452425,2417.5975,-116.143125,,149.986,29.65185,271.4633,228.3105,225.2252,27.78,9.785336,0.115342,347.92,48.21811,1.343917,290.5253,415.6701,85,57,28,197.4896
A17024-18-61-cell 15,A17024-18-61,-cell 15,3,Pirc,Pirc_1.5,1,0,,,1.5,1.5,,68.4735,21.1416375,190.4801,86.7258825,92.7807375,23.750845,74.93644,0,19.55,16.0107875,0.3927445,996.585,121.78,14.25,86.25,103.7542125,1629.60825,-54.930475,,175.548,21.91782,182.7204,144.9275,142.4501,71.8,10.79121,0.281495,318.86,31.45597,1.250626,179.7171,263.2033,60,39,21,36.38603
A17024-18-61-cell 21,A17024-18-61,-cell 21,3,Pirc,Pirc_1.5,1,0,,,1.5,1.5,,77.4245,20.5743825,209.733925,94.8224225,102.336995,28.714365,85.267615,0,14.67,13.348635,0.2851225,999.13,122.559025,15.75,95.25,114.9115,1708.54575,-58.532775,,160.67,29.74186,278.7141,168.3502,165.0165,15.62,9.608859,0.055939,242.04,29.28422,0.904668,157.7339,255.5082,78,55,23,95.41362
A17024-18-62-cell 2,A17024-18-62,-cell 2,3,Pirc,Pirc_1.5,1,0,,,1.5,1.5,,59.0255,17.9945375,152.033875,44.3242325,54.2020225,29.4331475,37.3355925,0,12.9,11.48962,0.257087,997.63,87.3318575,12.5,44.75,107.70963,1260.19625,-58.73005,,166.152,28.79386,244.6783,117.3709,114.9425,23.02,9.626562,0.092353,260.54,29.43417,1.005852,122.2529,180.955,56,37,19,116.3434
A17024-18-62-cell 4,A17024-18-62,-cell 4,3,Pirc,Pirc_1.5,1,0,,,1.5,1.5,,62.4285,21.0624975,181.636275,55.1673,68.479835,35.4402475,43.6147625,0,13.34,13.191,0.25831575,994.65,110.7841,14,57,126.469,1324.25775,-76.379775,,164.455,19.37914,153.3021,129.199,127.2265,82.92,11.67274,0.332544,315.52,28.25977,1.272598,157.6831,260.2046,51,31,20,127.2529
A17024-18-62-cell 5,A17024-18-62,-cell 5,3,Pirc,Pirc_1.5,1,0,,,1.5,1.5,,71.7815,20.8511075,165.518325,44.55563,57.155555,32.9054525,25.8555895,0,10.005,22.1947875,0.634779,995.62,114.8553,11,45.5,120.9627,1500.08375,-73.558175,,173.372,18.63907,145.2288,102.2495,98.61933,150.2,15.78863,0.60001,369.36,34.85364,1.455395,150.3455,237.9253,37,23,14,100.7093
A17024-18-62-cell 10,A17024-18-62,-cell 10,3,Pirc,Pirc_1.5,1,0,,,1.5,1.5,,69.0875,12.0581445,158.37375,43.290685,54.994915,33.9395425,34.51609,0,20.805,17.4476725,0.4104885,988.135,97.108235,9.5,43.5,115.083065,1262.673,-70.44655,,141.236,21.79372,277.5806,148.8095,154.321,23.36,10.96882,0.090012,281.04,34.9302,1.10399,187.1456,301.4536,60,39,21,106.5163
A17024-18-62-cell 20,A17024-18-62,-cell 20,3,Pirc,Pirc_1.5,1,0,,,1.5,1.5,,71.4745,17.25718,212.563375,67.0270175,80.7524625,42.04524,60.893615,0,7.75,13.5518275,0.15815275,991.985,106.579985,15.25,67.75,145.53635,1634.506,-79.660125,,183.734,20.63996,177.5651,155.7632,152.9052,19.04,9.795998,0.055711,283.2,27.63134,1.104887,179.2992,287.7993,60,39,21,154.7683
